,Title,videoPublishedAt,viewCount,likeCount,commentCount,favoriteCount,duration,categoryId
97,Recogiendo salón 👀,2025-09-05T10:19:09Z,9801,547,22,0,PT11S,26
98,Limpiando el salón ✨️ una mala noticia 😔 rutina de limpieza después de la vuelta al cole,2025-09-04T19:03:29Z,19930,2074,277,0,PT24M41S,26
99,Voy a otra tienda de segunda mano a buscar muebles y compro ropa 😅💃,2025-09-01T18:10:27Z,17103,2003,131,0,PT11M28S,26
100,Limpia conmigo ⭐️ Rutina de limpieza nocturna 💫 pongo luz de encimera  👀 limpio mi cocina a las 23h,2025-08-28T17:45:37Z,13230,1699,171,0,PT19M54S,26
101,Cuantas plantas tengo en casa,2025-08-28T14:37:12Z,9467,638,35,0,PT45S,26
102,Lo he roto pero no lo he roto 🤣🤣,2025-08-25T21:28:27Z,15216,558,37,0,PT7S,26
103,Antes y después 👉 reorganizo mi cuarto y el de los niños 🏡 armario de IKEA de segunda✋️,2025-08-25T19:37:19Z,22198,2343,284,0,PT22M47S,26
104,¿list@s para el chisme!? en @CafecikoconCintika,2025-08-22T07:28:51Z,14485,802,52,0,PT8S,26
105,Decorando mi cocina de arriba ⭐️ no la encuentro 😭 Unboxing del microondas Lidl Silvercrest verde 💚,2025-08-21T18:20:20Z,17937,2056,203,0,PT17M,26
106,Antes y después: cambio radical del salón con una tela y unos cojines 😱,2025-08-18T18:20:17Z,25426,3019,488,0,PT21M22S,26
107,Antes y después 👀Por fin arreglo mi rincón de costura y plancha 👉 trabajo en equipo,2025-08-14T14:25:44Z,22927,2529,274,0,PT23M16S,26
108,La crema de dia que uso 😃,2025-08-11T20:06:15Z,8687,374,16,0,PT15S,26
109,Cama de segunda mano y taburetes de IKEA 🛏Mi trastero desastrero 🏠 me planteo quedarme con él,2025-08-11T18:33:53Z,20093,2124,142,0,PT13M3S,26
110,Problemilla en la ducha ¿Que hago?,2025-08-09T16:39:58Z,10862,510,73,0,PT43S,26
111,Vamos al Jysk y al Krinwinkel a mirar armario y camas para la casa nueva  👀,2025-08-08T18:07:09Z,22788,2222,163,0,PT18M2S,26
112,Por fin puedo planchar agusto,2025-08-08T17:47:34Z,21450,975,48,0,PT14S,26
113,Rincones de la casa que me falta por definir 👉 ideas,2025-08-07T08:59:06Z,10774,624,20,0,PT15S,26
114,Necesito una placha nueva 🙄El rincón desastre de la casa 👉 el plan mientras plancho y coloco la ropa,2025-08-06T16:18:22Z,14336,1752,159,0,PT16M37S,26
115,Esta es mi segunda cocina mini,2025-08-06T16:12:20Z,12271,556,38,0,PT16S,26
116,Los medicamentos al alcance de los niños,2025-08-05T12:45:20Z,8088,736,36,0,PT1M31S,26
117,Os enseño La cocina de arriba 👉 limpia conmigo 💫 limpiando con alergia,2025-08-04T18:11:59Z,18473,2215,285,0,PT16M15S,26
118,Última limpieza y retoques antes de dejar la casa 🏡 cerramos una etapa y abrimos otra 😢 Action,2025-07-31T17:31:27Z,16438,1874,135,0,PT12M39S,26
119,Buscando tesoros de segunda mano con mi prima de España 😃 primera vez que ve un Kringwinkel,2025-07-28T19:10:44Z,20491,2108,149,0,PT17M2S,26
120,De repente siento que tengo 15 años 💃 Solo los de mi edad lo entenderán 😅,2025-07-26T16:32:42Z,25827,2084,279,0,PT43S,26
121,Limpia conmigo ✨️ rutina de limpieza en mi casa nueva 👉 salón y cocina,2025-07-25T19:32:36Z,19808,1909,312,0,PT42M40S,26
122,Voy a la tienda de segunda mano a mirar muebles,2025-07-23T19:05:17Z,17001,2055,153,0,PT13M30S,26
123,Limpio y ordeno el garaje para hacer una zona de lavandería,2025-07-21T18:57:35Z,17221,2006,264,0,PT17M50S,26
124,✔️ Limpia conmigo ✨️ Cómo limpio mi cuarto cuando tengo ataque de alergia por los ácaros del polvo 🤧,2025-07-18T18:44:11Z,15460,1784,198,0,PT12M42S,26
125,Desmonto la despensa 👉 empiezo a agobiarme 👀 aspirador Ultenic U16 en oferta,2025-07-16T14:07:19Z,16056,1849,181,0,PT13M37S,26
